disease,combined_text
Conjunctivitis Due To Allergy,"Disease: Conjunctivitis Due To Allergy | Disease Description: Allergic conjunctivitis is inflammation of the conjunctiva (eye lining) caused by allergens like pollen or dust, leading to red, itchy, watery eyes without infectious discharge. | Precautions Recommendation: Avoid rubbing eyes, Use antihistamine drops, Keep environment clean, Avoid known allergens | Medicines Recommendation: ['Antihistamine eye drops (e.g., Olopatadine)', 'Mast cell stabilizers (e.g., Ketotifen)', 'Artificial tears', 'Oral antihistamines', 'Cold compress'] | Diet Recommendation: ['Antihistamine-rich foods (quercetin in apples, onions)', 'Omega-3 fatty acids (salmon, flaxseeds)', 'Vitamin C-rich foods (citrus)', 'Hydration', 'Avoid allergens'] | Workouts Recommendation: [""Indoor exercises: Avoid allergens like pollen"", ""Gentle yoga: Avoid face touching"", ""Stretching: Avoid eye strain"", ""Avoid swimming: Prevent eye irritation""]"
Drug Reaction,"Disease: Drug Reaction | Disease Description: A drug reaction is an adverse response to a medication, ranging from mild rashes or stomach upset to severe allergic responses like Stevens-Johnson syndrome or anaphylaxis. | Precautions Recommendation: Stop the drug immediately, Consult a doctor, Use antihistamines if prescribed, Monitor for worsening symptoms | Medicines Recommendation: ['Discontinuation of offending drug', 'Antihistamines (e.g., Diphenhydramine)', 'Corticosteroids', 'Epinephrine (for anaphylaxis)', 'IV fluids and supportive care'] | Diet Recommendation: ['Balanced diet with antioxidants (berries, leafy greens)', 'Hydration', 'Avoid processed and allergenic foods', 'Vitamin C and E-rich foods (nuts, seeds, citrus)', 'Consult doctor for specific restrictions'] | Workouts Recommendation: [""Rest: While recovering from adverse reactions"", ""Low-intensity movement: Once stabilized"", ""Breathing exercises: Calm stress responses"", ""Avoid sun exposure: If on photosensitive medications""]"
Macular Degeneration,"Disease: Macular Degeneration | Disease Description: Macular degeneration is an eye disorder that damages the macula, the part of the retina responsible for central vision, leading to blurred or loss of central vision, typically in older adults. | Precautions Recommendation: Wear sunglasses, Eat leafy greens, Avoid smoking, Regular eye checkups | Medicines Recommendation: ['Anti-VEGF injections (e.g., Ranibizumab, Aflibercept)', 'AREDS2 vitamin supplements', 'Photodynamic therapy', 'Laser therapy (rarely)', 'Low vision aids'] | Diet Recommendation: ['Vitamin A-rich foods (carrots, sweet potatoes)', 'Lutein and zeaxanthin foods (spinach, kale)', 'Omega-3 fatty acids (fish, walnuts)', 'Zinc-rich foods (pumpkin seeds, beef)', 'Antioxidant-rich foods (blueberries, citrus)'] | Workouts Recommendation: [""Balance training: Prevent falls due to vision changes"", ""Walking: Improves circulation and eye health"", ""Indoor cycling: Safe with limited vision"", ""Avoid fast-paced movements: Prevent injuries""]"
Pneumonia,"Disease: Pneumonia | Disease Description: Pneumonia is an infection of the lungs caused by bacteria, viruses, or fungi, resulting in cough, fever, chest pain, and difficulty breathing due to inflammation and fluid in the lungs. | Precautions Recommendation: Take full course of antibiotics, Avoid smoking, Rest adequately, Stay hydrated | Medicines Recommendation: ['Antibiotics (e.g., Azithromycin, Ceftriaxone)', 'Antivirals (e.g., Oseltamivir if viral)', 'Expectorants', 'Fever reducers (e.g., Acetaminophen)', 'Oxygen therapy if needed'] | Diet Recommendation: ['Hydrating fluids (water, herbal teas)', 'Protein-rich foods (chicken, beans)', 'Vitamin C-rich foods (oranges, broccoli)', 'Avoid dairy if mucus worsens', 'Anti-inflammatory foods (turmeric, ginger)'] | Workouts Recommendation: [""Rest: Critical during acute infection"", ""Breathing exercises: Improve lung expansion"", ""Gentle walking: After fever subsides"", ""Gradual reintroduction to physical activity: To build endurance""]"
Vaginal Cyst,"Disease: Vaginal Cyst | Disease Description: A vaginal cyst is a fluid-filled sac that forms along the vaginal wall, often benign and asymptomatic, but can sometimes cause discomfort or pain if enlarged or infected. | Precautions Recommendation: Maintain genital hygiene, Avoid tight clothing, Do warm sitz baths, Follow doctor’s advice | Medicines Recommendation: ['Warm compress', 'Sitz bath', 'Antibiotics (if infected)', 'Surgical drainage (if large or recurrent)', 'Analgesics for pain'] | Diet Recommendation: ['Probiotics (yogurt, kefir)', 'Anti-inflammatory foods (berries, leafy greens)', 'Hydration', 'Avoid irritants and processed foods', 'Omega-3 fatty acids (salmon, flaxseeds)'] | Workouts Recommendation: [""Pelvic floor exercises: Support area and reduce discomfort"", ""Avoid high-impact sports: Prevent irritation"", ""Walking: Safe and light activity"", ""Breathing exercises: Promote general relaxation""]"
Carpal Tunnel Syndrome,"Disease: Carpal Tunnel Syndrome | Disease Description: Carpal tunnel syndrome is a condition caused by compression of the median nerve in the wrist, leading to numbness, tingling, and weakness in the hand and fingers. | Precautions Recommendation: Take frequent hand breaks, Use wrist splints, Avoid repetitive motions, Do stretching exercises | Medicines Recommendation: ['Wrist splint', 'NSAIDs', 'Corticosteroid injections', 'Gabapentin (if nerve pain)', 'Surgical decompression (if severe)'] | Diet Recommendation: ['Anti-inflammatory foods (turmeric, ginger)', 'Omega-3 fatty acids (chia seeds, salmon)', 'Magnesium-rich foods (spinach, almonds)', 'Vitamin B6-rich foods (bananas, poultry)', 'Avoid excess caffeine and sugar'] | Workouts Recommendation: [""Wrist stretching: Relieve nerve pressure"", ""Hand-strengthening exercises: Use putty or bands"", ""Avoid repetitive strain: Modify activities"", ""Yoga: Helps with posture and nerve health""]"
Nose Disorder,"Disease: Nose Disorder | Disease Description: Nose disorders include structural or inflammatory issues such as deviated septum, nasal polyps, or rhinitis, causing congestion, breathing difficulty, or nosebleeds. | Precautions Recommendation: Avoid nose picking, Keep nasal passages moist, Use saline sprays, Avoid irritants and allergens | Medicines Recommendation: ['Nasal decongestants (e.g., Oxymetazoline)', 'Antihistamines', 'Saline nasal spray', 'Intranasal corticosteroids', 'Antibiotics (if bacterial infection)'] | Diet Recommendation: ['Hydration', 'Vitamin C-rich foods (citrus, strawberries)', 'Zinc-rich foods (meat, seeds)', 'Avoid allergens and irritants', 'Warm fluids and anti-inflammatory foods (ginger, honey)'] | Workouts Recommendation: [""Breathing techniques: Nasal breathing focus"", ""Indoor cycling: Low impact on facial pressure"", ""Avoid inversion poses: Prevent sinus pressure"", ""Gentle cardio: Avoid dry, dusty air""]"
Dental Caries,"Disease: Dental Caries | Disease Description: Dental caries (tooth decay) is the destruction of tooth enamel due to acids produced by bacteria feeding on sugars, leading to cavities, tooth pain, and infection if untreated. | Precautions Recommendation: Brush twice daily, Limit sugar intake, Visit dentist regularly, Floss daily | Medicines Recommendation: ['Fluoride toothpaste or gel', 'Dental fillings', 'Chlorhexidine mouth rinse', 'Analgesics for pain', 'Root canal therapy (if advanced)'] | Diet Recommendation: ['Calcium-rich foods (milk, cheese)', 'Vitamin D-rich foods (fatty fish, fortified cereals)', 'Limit sugary and sticky foods', 'Crunchy fruits and vegetables (apples, carrots)', 'Green tea'] | Workouts Recommendation: [""Hydration focus: Water during exercise to reduce acid"", ""Avoid sugary drinks: During workouts"", ""Regular workouts: Support overall oral health"", ""No intense jaw activities: Prevent further damage""]"
Hypertensive Heart Disease,"Disease: Hypertensive Heart Disease | Disease Description: Hypertensive heart disease includes conditions caused by chronic high blood pressure, such as heart failure, thickened heart muscle, or coronary artery disease. | Precautions Recommendation: Reduce salt intake, Monitor blood pressure, Exercise regularly, Take antihypertensive medication | Medicines Recommendation: ['ACE inhibitors (e.g., Lisinopril)', 'Beta-blockers (e.g., Metoprolol)', 'Diuretics (e.g., Furosemide)', 'Calcium channel blockers (e.g., Amlodipine)', 'Lifestyle modification'] | Diet Recommendation: ['Low-sodium diet (avoid processed foods)', 'Potassium-rich foods (bananas, sweet potatoes)', 'Omega-3 fatty acids (salmon, walnuts)', 'Whole grains (brown rice, oats)', 'Limit saturated fats (butter, fatty meats)'] | Workouts Recommendation: [""Walking: Low-impact and heart-friendly"", ""Swimming: Great cardiovascular activity"", ""Breathing techniques: Reduce stress-induced spikes"", ""Avoid heavy lifting: Prevent blood pressure surges""]"
Seasonal Allergies (Hay Fever),"Disease: Seasonal Allergies (Hay Fever) | Disease Description: Seasonal allergies, or hay fever, are allergic reactions to airborne allergens like pollen, causing sneezing, nasal congestion, itchy eyes, and throat irritation, often during specific seasons. | Precautions Recommendation: Keep windows closed during high pollen, Shower after being outdoors, Use air purifier, Take antihistamines | Medicines Recommendation: ['Oral antihistamines (e.g., Cetirizine)', 'Intranasal corticosteroids (e.g., Fluticasone)', 'Leukotriene receptor antagonists (e.g., Montelukast)', 'Nasal saline rinses', 'Allergy immunotherapy'] | Diet Recommendation: ['Quercetin-rich foods (onions, apples)', 'Vitamin C-rich foods (citrus fruits)', 'Omega-3 fatty acids (flaxseeds, fish)', 'Probiotics (yogurt, kimchi)', 'Avoid allergens'] | Workouts Recommendation: [""Indoor workouts: Avoid pollen exposure"", ""Yoga: Manage immune and stress response"", ""Treadmill walking: Allergy-safe cardio"", ""Wear a mask outdoors: If walking outside""]"
Fungal Infection Of The Hair,"Disease: Fungal Infection Of The Hair | Disease Description: Fungal infection of the hair, or tinea capitis, is a scalp infection caused by dermatophyte fungi, resulting in scaly patches, hair loss, and sometimes black dots or swelling. | Precautions Recommendation: Keep scalp dry and clean, Avoid sharing personal items, Use antifungal shampoo, Maintain proper hygiene | Medicines Recommendation: ['Griseofulvin (oral)', 'Terbinafine (oral)', 'Ketoconazole shampoo', 'Selenium sulfide shampoo', 'Itraconazole'] | Diet Recommendation: ['Antifungal foods (garlic, coconut oil)', 'Probiotics (yogurt, kefir)', 'Vitamin E-rich foods (nuts, seeds)', 'Zinc-rich foods (beef, pumpkin seeds)', 'Avoid sugar and processed foods'] | Workouts Recommendation: [""Avoid shared gym equipment: Prevent spread"", ""Indoor yoga: No sweat-heavy environments"", ""Dry scalp after workouts: Prevent fungus growth"", ""Low-sweat activities: Reduce moisture""]"
Rectal Disorder,"Disease: Rectal Disorder | Disease Description: Rectal disorders include conditions affecting the rectum such as hemorrhoids, fissures, or prolapse, often causing pain, bleeding, or difficulty during bowel movements. | Precautions Recommendation: Eat a high-fiber diet, Drink plenty of water, Avoid straining during bowel movements, Use sitz baths | Medicines Recommendation: ['Hydrocortisone suppositories', 'Laxatives (e.g., Lactulose)', 'Fiber supplements', 'Sitz baths', 'Surgical intervention (e.g., hemorrhoidectomy if needed)'] | Diet Recommendation: ['High-fiber foods (whole grains, fruits, vegetables)', 'Hydration', 'Avoid spicy and processed foods', 'Probiotics (yogurt, sauerkraut)', 'Limit caffeine and alcohol'] | Workouts Recommendation: [""Walking: Supports digestion and circulation"", ""Pelvic floor exercises: Strengthen rectal support"", ""Avoid cycling: Prevent irritation"", ""Gentle yoga: Focus on posture and breathing""]"
Stye,"Disease: Stye | Disease Description: A stye is a red, painful lump near the edge of the eyelid caused by a bacterial infection of an oil gland, often resolving on its own or with warm compresses. | Precautions Recommendation: Apply warm compress, Avoid touching or squeezing, Maintain eyelid hygiene, Discontinue eye makeup temporarily | Medicines Recommendation: ['Warm compresses', 'Topical antibiotic ointment (e.g., Erythromycin)', 'Oral antibiotics (if spreading)', 'Pain relievers', 'Incision and drainage (if abscess forms)'] | Diet Recommendation: ['Vitamin A-rich foods (carrots, sweet potatoes)', 'Vitamin C-rich foods (citrus)', 'Hydration', 'Omega-3 fatty acids (salmon, flaxseeds)', 'Avoid eye irritants'] | Workouts Recommendation: [""Avoid swimming: Prevent bacteria exposure"", ""Low-intensity workouts: No eye rubbing or strain"", ""Clean face post-exercise: Prevent infection"", ""Avoid hot yoga: May worsen swelling""]"
Heart Attack,"Disease: Heart Attack | Disease Description: A heart attack (myocardial infarction) occurs when blood flow to part of the heart is blocked, leading to chest pain, shortness of breath, nausea, and potentially life-threatening damage to heart muscle. | Precautions Recommendation: Take prescribed medication, Avoid stress, Eat heart-healthy diet, Monitor cholesterol and BP | Medicines Recommendation: ['Aspirin', 'Nitroglycerin', 'Beta-blockers (e.g., Metoprolol)', 'ACE inhibitors', 'Thrombolytics or PCI (percutaneous coronary intervention)'] | Diet Recommendation: ['Low-sodium diet (vegetables, fresh fruits)', 'Omega-3 fatty acids (salmon, flaxseeds)', 'Whole grains (brown rice, oats)', 'Lean proteins (chicken, beans)', 'Limit saturated and trans fats (processed foods, fried foods)'] | Workouts Recommendation: [""Cardiac rehabilitation: Doctor-supervised program"", ""Walking: Most recommended early-stage workout"", ""Stationary cycling: Low-impact cardio"", ""Avoid high-intensity training: Until medically cleared""]"
Obstructive Sleep Apnea (Osa),"Disease: Obstructive Sleep Apnea (Osa) | Disease Description: OSA is a sleep disorder where the throat muscles intermittently relax and block the airway, causing repeated pauses in breathing during sleep and leading to poor rest and fatigue. | Precautions Recommendation: Maintain healthy weight, Use CPAP machine if prescribed, Avoid alcohol before bedtime, Sleep on your side | Medicines Recommendation: ['CPAP (Continuous Positive Airway Pressure)', 'Weight loss', 'Mandibular advancement device', 'Modafinil (for residual sleepiness)', 'Surgery (e.g., UPPP, if indicated)'] | Diet Recommendation: ['Weight management diet (calorie control)', 'Avoid alcohol and sedatives', 'High-fiber foods (whole grains, fruits)', 'Avoid heavy meals before bedtime', 'Hydration'] | Workouts Recommendation: [""Weight management exercises: Walking, swimming"", ""Breathing training: Strengthen airway muscles"", ""Yoga: Improve breathing and sleep quality"", ""Avoid late-night workouts: Prevent sleep disruption""]"
Psoriasis,"Disease: Psoriasis | Disease Description: Psoriasis is a chronic autoimmune skin condition causing rapid skin cell growth that results in thick, scaly, red patches, often on the elbows, knees, or scalp. | Precautions Recommendation: Keep skin moisturized, Avoid triggers like stress, Use prescribed creams, Avoid scratching | Medicines Recommendation: ['Topical corticosteroids', 'Vitamin D analogs (e.g., Calcipotriol)', 'Methotrexate', 'Biologics (e.g., Adalimumab)', 'Phototherapy (UVB)'] | Diet Recommendation: ['Anti-inflammatory foods (turmeric, ginger, berries)', 'Omega-3 fatty acids (salmon, walnuts)', 'Vitamin D-rich foods (egg yolk, fortified cereals)', 'Avoid gluten if sensitive', 'Hydration'] | Workouts Recommendation: [""Swimming in saltwater: May soothe skin"", ""Moderate aerobic activity: Supports immune system"", ""Stretching and yoga: Gentle on skin"", ""Avoid hot/sweaty environments: Prevent flare-ups""]"
Arthritis Of The Hip,"Disease: Arthritis Of The Hip | Disease Description: Arthritis of the hip involves inflammation and degeneration of the hip joint cartilage, leading to pain, stiffness, and reduced mobility, commonly due to osteoarthritis. | Precautions Recommendation: Do low-impact exercises, Use walking aids if needed, Maintain healthy weight, Take anti-inflammatory medication | Medicines Recommendation: ['NSAIDs', 'Corticosteroid injections', 'Physical therapy', 'Glucosamine supplements', 'Hip replacement surgery (in advanced cases)'] | Diet Recommendation: ['Anti-inflammatory foods (olive oil, turmeric, berries)', 'Omega-3 fatty acids (fish, flaxseeds)', 'Calcium-rich foods (dairy, leafy greens)', 'Vitamin D-rich foods (fortified milk, egg yolk)', 'Maintain healthy weight diet'] | Workouts Recommendation: [""Water aerobics: Low joint impact"", ""Stretching: Maintain hip mobility"", ""Walking with support: Use cane if needed"", ""Strength training: Build support muscles around joint""]"
Sickle Cell Crisis,"Disease: Sickle Cell Crisis | Disease Description: Sickle cell crisis is a painful episode in people with sickle cell disease, where misshapen red blood cells block blood flow, causing severe pain, fatigue, and potential organ damage. | Precautions Recommendation: Stay hydrated, Avoid extreme temperatures, Prevent infections, Take prescribed medication regularly | Medicines Recommendation: ['Hydroxyurea', 'Folic acid', 'Pain management (e.g., Morphine)', 'IV fluids', 'Blood transfusions (if needed)'] | Diet Recommendation: ['Folate-rich foods (leafy greens, legumes)', 'Hydrating fluids (water, herbal teas)', 'Iron-rich foods (lean meats, beans)', 'Vitamin B6-rich foods (bananas, poultry)', 'Balanced protein intake'] | Workouts Recommendation: [""Rest: Avoid physical stress during crisis"", ""Hydration focus: Essential during and after workouts"", ""Low-intensity stretching: Once stable"", ""Avoid high altitudes: Prevent oxygen drop""]"
Otitis Externa (Swimmer'S Ear),"Disease: Otitis Externa (Swimmer'S Ear) | Disease Description: Otitis externa is an infection of the outer ear canal, often due to trapped water and bacteria, leading to ear pain, itching, swelling, and discharge. | Precautions Recommendation: Dry ears after swimming, Avoid inserting objects into ears, Use prescribed ear drops, Avoid dirty water bodies | Medicines Recommendation: ['Topical antibiotic ear drops (e.g., Ciprofloxacin + Hydrocortisone)', 'Acidifying drops (e.g., Acetic acid)', 'Analgesics', 'Ear wick for deep infections', 'Avoid water exposure'] | Diet Recommendation: ['Hydration', 'Avoid irritants and allergens', 'Vitamin C-rich foods (citrus fruits, bell peppers)', 'Anti-inflammatory foods (turmeric, ginger)', 'Probiotics (yogurt, kefir)'] | Workouts Recommendation: [""Avoid swimming: Until healed"", ""Walking: Gentle, safe movement"", ""Indoor cycling: Avoid moisture exposure"", ""Protect ears: Use dry earplugs during workouts""]"
Acute Bronchiolitis,"Disease: Acute Bronchiolitis | Disease Description: Acute bronchiolitis is a common lower respiratory tract infection in infants, usually caused by RSV, leading to wheezing, coughing, and difficulty breathing. | Precautions Recommendation: Keep child hydrated, Use humidifier, Avoid exposure to smoke, Monitor breathing | Medicines Recommendation: ['Supportive care', 'Nasal suctioning', 'Saline nebulization', 'Oxygen therapy (if hypoxic)', 'Antipyretics (e.g., Paracetamol)'] | Diet Recommendation: ['Hydration (water, herbal teas)', 'Vitamin C-rich foods (oranges, strawberries)', 'Protein-rich foods (chicken, beans)', 'Avoid dairy if mucus increases', 'Anti-inflammatory foods (ginger, turmeric)'] | Workouts Recommendation: [""Rest during illness: Avoid all exertion"", ""Breathing therapy: Rebuild lung strength"", ""Light walking: Only after full recovery"", ""Avoid dusty or polluted areas: Protect airways""]"
Pyogenic Skin Infection,"Disease: Pyogenic Skin Infection | Disease Description: A pyogenic skin infection is a bacterial infection of the skin that produces pus, such as abscesses, boils, or cellulitis, often caused by Staphylococcus aureus. | Precautions Recommendation: Keep wound clean and dry, Avoid scratching, Take prescribed antibiotics, Cover infected area | Medicines Recommendation: ['Oral antibiotics (e.g., Cephalexin, Clindamycin)', 'Topical antibiotics (e.g., Mupirocin)', 'Incision and drainage', 'Antiseptic cleansing', 'Pain management'] | Diet Recommendation: ['Protein-rich foods (lean meat, eggs)', 'Vitamin C-rich foods (citrus fruits, kiwi)', 'Zinc-rich foods (pumpkin seeds, nuts)', 'Hydration', 'Avoid sugary and processed foods'] | Workouts Recommendation: [""Avoid shared gym equipment: Prevent spread"", ""No swimming: Until cleared"", ""Stretching at home: Avoid sweating on infected skin"", ""Use clean towels: Hygiene is key""]"
Noninfectious Gastroenteritis,"Disease: Noninfectious Gastroenteritis | Disease Description: Noninfectious gastroenteritis refers to inflammation of the stomach and intestines not caused by infection, but by irritants like medications, alcohol, or food intolerances. | Precautions Recommendation: Avoid irritant foods, Stay hydrated, Eat bland diet, Rest well | Medicines Recommendation: ['Antiemetics (e.g., Ondansetron)', 'Antispasmodics (e.g., Dicyclomine)', 'Probiotics', 'Hydration therapy', 'Dietary changes (BRAT diet)'] | Diet Recommendation: ['Bland diet (bananas, rice, applesauce)', 'Hydration', 'Avoid spicy, fatty, and dairy foods', 'Probiotics (yogurt, kefir)', 'Small frequent meals'] | Workouts Recommendation: [""Gentle walking: Only after rehydration"", ""Rest: During acute symptoms"", ""Avoid abdominal strain: Prevent discomfort"", ""Hydration focus: Replace electrolytes""]"
Benign Prostatic Hyperplasia (Bph),"Disease: Benign Prostatic Hyperplasia (Bph) | Disease Description: BPH is a non-cancerous enlargement of the prostate gland in older men, causing difficulty urinating, weak stream, or frequent urination, especially at night. | Precautions Recommendation: Limit evening fluid intake, Avoid alcohol and caffeine, Empty bladder completely, Follow up with urologist | Medicines Recommendation: ['Alpha blockers (e.g., Tamsulosin)', '5-alpha reductase inhibitors (e.g., Finasteride)', 'Tadalafil (for symptoms)', 'Surgical options (e.g., TURP)', 'Lifestyle changes'] | Diet Recommendation: ['Hydration', 'Limit caffeine and alcohol', 'Zinc-rich foods (pumpkin seeds, beef)', 'Tomatoes (lycopene)', 'High-fiber foods (whole grains, fruits, vegetables)'] | Workouts Recommendation: [""Pelvic floor exercises: Improve urinary control"", ""Walking: Promotes bladder health"", ""Avoid cycling: Can worsen symptoms"", ""Stretching: Relieve pelvic tension""]"
Spinal Stenosis,"Disease: Spinal Stenosis | Disease Description: Spinal stenosis is the narrowing of the spinal canal, often due to arthritis or disc problems, leading to back pain, numbness, and weakness in the legs. | Precautions Recommendation: Avoid high-impact activities, Use walking support, Physical therapy, Take anti-inflammatory meds | Medicines Recommendation: ['NSAIDs', 'Physical therapy', 'Epidural steroid injections', 'Gabapentin or Pregabalin', 'Surgical decompression (e.g., laminectomy)'] | Diet Recommendation: ['Anti-inflammatory foods (berries, leafy greens)', 'Omega-3 fatty acids (salmon, flaxseeds)', 'Calcium-rich foods (milk, cheese)', 'Vitamin D-rich foods (egg yolk, fortified cereals)', 'Protein-rich foods (chicken, legumes)'] | Workouts Recommendation: [""Flexion-based exercises: Reduce spinal pressure"", ""Stationary biking: Low back stress"", ""Water therapy: Buoyant support"", ""Avoid arching or extension exercises: Prevent nerve irritation""]"
Acute Bronchitis,"Disease: Acute Bronchitis | Disease Description: Acute bronchitis is inflammation of the bronchial tubes in the lungs, typically caused by a viral infection, resulting in cough, mucus production, chest discomfort, and low-grade fever. | Precautions Recommendation: Avoid smoking, Drink warm fluids, Use cough suppressants if needed, Rest and recover | Medicines Recommendation: ['Cough suppressants (e.g., Dextromethorphan)', 'Expectorants (e.g., Guaifenesin)', 'Bronchodilators (if wheezing)', 'NSAIDs', 'Antibiotics (only if bacterial suspected)'] | Diet Recommendation: ['Hydration', 'Vitamin C-rich foods (citrus fruits, bell peppers)', 'Avoid dairy if mucus increases', 'Anti-inflammatory foods (ginger, turmeric)', 'Protein-rich foods (chicken, beans)'] | Workouts Recommendation: [""Breathing exercises: Aid recovery"", ""Rest: Essential during coughing phase"", ""Walking: Gradually reintroduce activity"", ""Avoid cold-air workouts: Prevent airway constriction""]"
Croup,"Disease: Croup | Disease Description: Croup is a viral infection that causes swelling of the airway in young children, leading to a barking cough, hoarseness, and difficulty breathing, often worse at night. | Precautions Recommendation: Use humidified air, Keep child calm, Encourage fluid intake, Seek medical help for breathing difficulty | Medicines Recommendation: ['Dexamethasone (oral or IM)', 'Nebulized epinephrine', 'Humidified air', 'Antipyretics', 'Hydration'] | Diet Recommendation: ['Hydration', 'Humidified air', 'Vitamin C-rich foods (oranges, strawberries)', 'Avoid dairy if mucus worsens', 'Soft, easy to swallow foods (soups, smoothies)'] | Workouts Recommendation: [""Rest: Until breathing improves"", ""Steam inhalation: Open airways"", ""Avoid exertion: May worsen symptoms"", ""Gentle play: Indoors and calm once recovering""]"
Idiopathic Excessive Menstruation,"Disease: Idiopathic Excessive Menstruation | Disease Description: Idiopathic excessive menstruation refers to abnormally heavy or prolonged menstrual bleeding without an identifiable underlying medical cause. | Precautions Recommendation: Use sanitary protection, Monitor blood loss, Iron-rich diet, Consult gynecologist | Medicines Recommendation: ['Tranexamic acid', 'NSAIDs (e.g., Mefenamic acid)', 'Oral contraceptives', 'Levonorgestrel-releasing IUD', 'Iron supplements'] | Diet Recommendation: ['Iron-rich foods (spinach, red meat)', 'Vitamin C-rich foods (oranges, bell peppers)', 'Hydration', 'Avoid caffeine and alcohol', 'High-fiber foods (whole grains, fruits)'] | Workouts Recommendation: [""Yoga: Eases cramps and bleeding"", ""Walking: Low-impact movement"", ""Pelvic floor workouts: Support reproductive organs"", ""Avoid intense cardio: Prevent symptom worsening""]"
Ear Drum Damage,"Disease: Ear Drum Damage | Disease Description: Ear drum damage (tympanic membrane perforation) is a tear or hole in the eardrum due to infection, injury, or loud noise, which may cause pain, hearing loss, or drainage. | Precautions Recommendation: Avoid water entry into ear, Don’t insert objects into ear, Use ear drops as prescribed, Follow up with ENT | Medicines Recommendation: ['Antibiotic ear drops (if infection)', 'Oral antibiotics (if needed)', 'Avoid water entry', 'Pain relief (e.g., Acetaminophen)', 'Tympanoplasty (if persistent perforation)'] | Diet Recommendation: ['Protein-rich foods (lean meats, eggs)', 'Vitamin C-rich foods (citrus, broccoli)', 'Zinc-rich foods (shellfish, pumpkin seeds)', 'Hydration', 'Avoid irritants'] | Workouts Recommendation: [""Avoid swimming and underwater sports"", ""Walking: Safe and low-impact"", ""Stretching: Avoid head-down positions"", ""Protect ears from loud music/explosive sports""]"
Temporary Or Benign Blood In Urine,"Disease: Temporary Or Benign Blood In Urine | Disease Description: Temporary or benign hematuria is the presence of blood in the urine without a serious underlying cause, sometimes triggered by exercise, medications, or mild infections. | Precautions Recommendation: Stay hydrated, Avoid strenuous activity, Avoid certain medications (as advised), Follow up with doctor | Medicines Recommendation: ['Hydration therapy', 'Avoid strenuous exercise', 'Adjust anticoagulants (if relevant)', 'Monitor kidney function', 'Reassurance and follow-up'] | Diet Recommendation: ['Hydration', 'Avoid irritants (spicy foods, caffeine)', 'Balanced diet with fruits and vegetables', 'Limit sodium and processed foods', 'Consult doctor for specific recommendations'] | Workouts Recommendation: [""Walking: Low strain on kidneys"", ""Hydration before and after: Support urinary health"", ""Avoid heavy lifting: Prevent internal pressure"", ""Gentle stretching: Support circulation""]"
Common Cold,"Disease: Common Cold | Disease Description: The common cold is a viral infection of the upper respiratory tract, typically causing sneezing, sore throat, nasal congestion, cough, and mild fever. | Precautions Recommendation: Drink plenty of fluids, Rest well, Use nasal decongestants, Practice good hygiene | Medicines Recommendation: ['Paracetamol', 'Ibuprofen', 'Decongestants (e.g., Pseudoephedrine)', 'Antihistamines', 'Cough syrups (e.g., Dextromethorphan)'] | Diet Recommendation: ['Hydration (water, herbal teas)', 'Vitamin C-rich foods (citrus, kiwi)', 'Zinc-rich foods (nuts, seeds)', 'Chicken soup', 'Avoid dairy if mucus increases'] | Workouts Recommendation: [""Rest: Essential during acute phase"", ""Gentle yoga: After fever subsides"", ""Walking: Once energy returns"", ""Breathing exercises: Open airways""]"
Depression,"Disease: Depression | Disease Description: Depression is a mental health disorder characterized by persistent sadness, loss of interest or pleasure, fatigue, and changes in sleep or appetite, significantly impacting daily life. | Precautions Recommendation: Maintain social connection, Follow treatment plan, Get regular exercise, Avoid alcohol and drugs | Medicines Recommendation: ['SSRIs (e.g., Sertraline, Escitalopram)', 'SNRIs (e.g., Venlafaxine)', 'Atypical antidepressants (e.g., Bupropion)', 'Cognitive Behavioral Therapy (CBT)', 'Psychotherapy'] | Diet Recommendation: ['Omega-3 fatty acids (salmon, walnuts)', 'Vitamin D-rich foods (egg yolk, fortified cereals)', 'Complex carbs (whole grains, legumes)', 'Folate-rich foods (leafy greens, beans)', 'Limit processed sugars and caffeine'] | Workouts Recommendation: [""Aerobic exercise: Boosts mood via endorphins"", ""Yoga: Mind-body balance"", ""Group activities: Enhance motivation"", ""Walking in nature: Proven to reduce symptoms""]"
Idiopathic Irregular Menstrual Cycle,"Disease: Idiopathic Irregular Menstrual Cycle | Disease Description: Idiopathic irregular menstrual cycle refers to inconsistent or unpredictable menstrual periods without a clear medical cause, often linked to hormonal imbalance. | Precautions Recommendation: Keep menstrual diary, Maintain healthy weight, Reduce stress, Consult a gynecologist | Medicines Recommendation: ['Combined oral contraceptives', 'Progestins', 'Metformin (if PCOS-related)', 'Lifestyle modification', 'Clomiphene (for ovulation induction)'] | Diet Recommendation: ['Balanced diet with protein (chicken, beans)', 'Iron-rich foods (spinach, lentils)', 'Vitamin B6-rich foods (bananas, poultry)', 'Hydration', 'Avoid caffeine and high sugar foods'] | Workouts Recommendation: [""Moderate aerobic workouts: Regulate hormones"", ""Yoga: Balance endocrine function"", ""Strength training: Improves metabolic health"", ""Avoid excessive exercise: Can disrupt cycles""]"
